state,pollster,number.of.observations,start.date,end.date,obama,romney,other,undecided,mode,population
NY,SurveyUSA,518,2/27/12,3/1/12,60,30,10,0,Live Phone,Registered Voters
VT,Castleton Polling Institute,800,2/27/12,3/1/12,59,33,8,0,Live Phone,Registered Voters
NJ,SurveyUSA,533,2/27/12,3/1/12,52,38,10,0,Live Phone,Registered Voters
PA,Morning Call/Muhlenberg,625,2/27/12,3/1/12,48,37,15,0,Live Phone,Registered Voters
GA,SurveyUSA,1156,2/27/12,3/1/12,42,49,9,0,Live Phone,Registered Voters
VA,Roanoke College,607,2/28/12,3/2/12,42,43,15,0,Live Phone,Registered Voters
NJ,Quinnipiac,1396,2/29/12,3/3/12,49,39,12,0,Live Phone,Registered Voters
WI,Rasmussen,500,2/29/12,3/3/12,47,42,11,0,Live Phone,Registered Voters
WI,Public Policy,900,3/1/12,3/4/12,53,39,8,0,Live Phone,Registered Voters
VA,NBC/Marist,1273,3/4/12,3/7/12,52,35,13,0,Live Phone,Registered Voters
OH,NBC/Marist,1573,3/4/12,3/7/12,50,38,12,0,Live Phone,Registered Voters
MA,Western New England Univ.,527,3/5/12,3/8/12,60,36,4,0,Live Phone,Registered Voters
MA,Rasmussen,500,3/5/12,3/8/12,55,38,7,0,Live Phone,Registered Voters
NE,Rasmussen,500,3/7/12,3/10/12,35,52,13,0,Live Phone,Likely Voters
ME,Public Policy,1256,3/8/12,3/11/12,58,35,7,0,Live Phone,Registered Voters
PA,Public Policy,689,3/13/12,3/16/12,49,42,9,0,Live Phone,Registered Voters
NJ,Fairleigh Dickinson U.,800,3/14/12,3/17/12,50,37,13,0,Live Phone,Registered Voters
NC,Public Policy,804,3/14/12,3/17/12,49,46,5,0,Live Phone,Registered Voters
PA,Quinnipiac,1256,3/14/12,3/17/12,46,40,14,0,Live Phone,Registered Voters
FL,Rasmussen,500,3/15/12,3/18/12,46,43,11,0,Live Phone,Likely Voters
AZ,Rasmussen,500,3/15/12,3/18/12,40,51,9,0,Live Phone,Likely Voters
MO,Rasmussen,500,3/19/12,3/22/12,41,50,9,0,Live Phone,Likely Voters
VA,Quinnipiac,1034,3/20/12,3/23/12,50,42,8,0,Live Phone,Registered Voters
MA,Public Policy,936,3/21/12,3/24/12,58,35,7,0,Live Phone,Registered Voters
NV,Rasmussen,500,3/21/12,3/24/12,50,44,6,0,Live Phone,Likely Voters
NH,American Research Group,557,3/21/12,3/24/12,48,41,11,0,Live Phone,Registered Voters
CT,Quinnipiac,1622,3/22/12,3/25/12,53,37,10,0,Live Phone,Registered Voters
VA,Rasmussen,500,3/22/12,3/25/12,51,42,7,0,Live Phone,Likely Voters
OR,SurveyUSA,1615,3/22/12,3/25/12,50,39,11,0,Live Phone,Registered Voters
CA,USC/Los Angeles Times,1500,3/25/12,3/28/12,57,36,7,0,Live Phone,Registered Voters
WI,Marquette Univ. Law School,707,3/27/12,3/30/12,48,43,9,0,Live Phone,Registered Voters
AR,Talk Business / Hendrix College,759,3/27/12,3/30/12,33,57,10,0,Live Phone,Likely Voters
FL,Quinnipiac,1228,3/28/12,3/31/12,49,42,9,0,Live Phone,Registered Voters
OH,Quinnipiac,1246,3/28/12,3/31/12,47,41,12,0,Live Phone,Registered Voters
PA,Quinnipiac,1232,3/28/12,3/31/12,45,42,13,0,Live Phone,Registered Voters
NE,Public Policy,1028,3/28/12,3/31/12,39,51,10,0,Live Phone,Likely Voters
WI,Rasmussen,500,3/29/12,4/1/12,52,41,7,0,Live Phone,Likely Voters
OH,Rasmussen,500,3/29/12,4/1/12,48,40,12,0,Live Phone,Likely Voters
WI,NBC/Marist,2792,3/30/12,4/2/12,52,35,13,0,Live Phone,Registered Voters
CA,SurveyUSA,1995,4/3/12,4/6/12,62,31,7,0,Live Phone,Registered Voters
NV,Public Policy,553,4/4/12,4/7/12,51,43,6,0,Live Phone,Registered Voters
IN,Howey / DePauw,503,4/4/12,4/7/12,40,49,11,0,Live Phone,Likely Voters
MT,Rasmussen,500,4/4/12,4/7/12,40,49,11,0,Live Phone,Likely Voters
NY,Quinnipiac,1597,4/5/12,4/8/12,56,33,11,0,Live Phone,Registered Voters
--,Pew,2373,4/4/12,4/9/12,49,45,0,4,Live Phone,Likely Voters
ME,Maine People's Resource Center,993,4/7/12,4/10/12,55,37,8,0,Live Phone,Registered Voters
MI,EPIC-MRA,600,4/9/12,4/12/12,47,43,10,0,Live Phone,Likely Voters
CA,SurveyUSA,1995,4/10/12,4/13/12,62,31,7,0,Live Phone,Registered Voters
NY,Siena College,808,4/10/12,4/13/12,60,35,5,0,Live Phone,Registered Voters
CO,Public Policy,542,4/10/12,4/13/12,53,40,7,0,Live Phone,Registered Voters
NM,Rasmussen,500,4/10/12,4/13/12,52,36,12,0,Live Phone,Likely Voters
VA,Roanoke College,603,4/10/12,4/13/12,40,46,14,0,Live Phone,Registered Voters
MA,Rasmussen,500,4/11/12,4/14/12,51,40,9,0,Live Phone,Likely Voters
NC,Public Policy,975,4/11/12,4/14/12,49,44,7,0,Live Phone,Registered Voters
NJ,Quinnipiac,1607,4/12/12,4/15/12,49,40,11,0,Live Phone,Registered Voters
--,Quinnipiac,2577,4/11/12,4/16/12,46,42,2,8,Live Phone,Likely Voters
--,Gallup ,2200,4/11/12,4/16/12,45,47,2,4,Live Phone,Likely Voters
NC,Rasmussen,500,4/13/12,4/16/12,44,46,10,0,Live Phone,Likely Voters
--,Public Policy Polling,900,4/12/12,4/17/12,49,46,0,2,Live Phone,Likely Voters
--,Reuters/Ipsos,891,4/12/12,4/17/12,47,43,2,6,Live Phone,Likely Voters
--,Rasmussen ,1500,4/12/12,4/17/12,44,48,2,4,Live Phone,Likely Voters
--,CNN/Opinion Research,910,4/13/12,4/18/12,52,43,0,2,Live Phone,Likely Voters
--,NBC/Wall Street Journal,1000,4/13/12,4/18/12,49,43,2,4,Live Phone,Likely Voters
--,CBS News/New York Times,852,4/13/12,4/18/12,46,46,2,4,Live Phone,Likely Voters
--,YouGov/YouGov,1000,4/14/12,4/19/12,49,42,2,6,Live Phone,Likely Voters
NY,NY1/YNN-Marist,632,4/17/12,4/20/12,57,35,8,0,Live Phone,Registered Voters
FL,Public Policy,700,4/17/12,4/20/12,50,45,5,0,Live Phone,Registered Voters
--,Rasmussen ,1500,4/15/12,4/20/12,43,47,2,6,Live Phone,Likely Voters
--,Gallup ,2200,4/16/12,4/21/12,45,46,2,6,Live Phone,Likely Voters
NH,Rockefeller Ctr. (Dartmouth),403,4/18/12,4/21/12,42,44,14,0,Live Phone,Registered Voters
FL,Fox News,757,4/19/12,4/22/12,45,43,12,0,Live Phone,Registered Voters
MO,Rasmussen,500,4/19/12,4/22/12,45,48,7,0,Live Phone,Likely Voters
OH,Fox News,606,4/19/12,4/22/12,45,39,16,0,Live Phone,Registered Voters
OH,Rasmussen,500,4/20/12,4/23/12,46,42,12,0,Live Phone,Likely Voters
--,Public Policy Polling/Daily Kos/SEIU,1000,4/19/12,4/24/12,49,44,2,4,Live Phone,Likely Voters
--,National Journal,1004,4/19/12,4/24/12,47,39,4,8,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,538,4/23/12,4/26/12,51,42,7,0,Live Phone,Registered Voters
--,Gallup ,2200,4/21/12,4/26/12,50,43,2,4,Live Phone,Likely Voters
OH,Purple Strategies,600,4/23/12,4/26/12,49,44,7,0,Live Phone,Likely Voters
VA,Purple Strategies,600,4/23/12,4/26/12,48,46,6,0,Live Phone,Likely Voters
CO,Purple Strategies,600,4/23/12,4/26/12,47,47,6,0,Live Phone,Likely Voters
FL,Purple Strategies,600,4/23/12,4/26/12,45,47,8,0,Live Phone,Likely Voters
AZ,Arizona St. Morrison Inst.,488,4/23/12,4/26/12,40,42,18,0,Live Phone,Registered Voters
TX,Public Policy,591,4/24/12,4/27/12,43,50,7,0,Live Phone,Registered Voters
NM,Public Policy,526,4/25/12,4/28/12,54,40,6,0,Live Phone,Registered Voters
VA,Rasmussen,500,4/25/12,4/28/12,44,45,11,0,Live Phone,Likely Voters
AZ,Behavior Research Center,511,4/25/12,4/28/12,42,40,18,0,Live Phone,Registered Voters
--,Rasmussen ,1500,4/24/12,4/29/12,47,46,2,4,Live Phone,Likely Voters
FL,Rasmussen,500,4/27/12,4/30/12,45,46,9,0,Live Phone,Likely Voters
--,Investor's Business Daily/Christian Science Monitor/TIPP,856,4/27/12,5/2/12,46,43,2,6,Live Phone,Likely Voters
--,Gallup ,2200,4/27/12,5/2/12,45,46,2,6,Live Phone,Likely Voters
VA,Public Policy,680,5/1/12,5/4/12,51,43,6,0,Live Phone,Registered Voters
NC,SurveyUSA,1636,5/1/12,5/4/12,47,43,10,0,Live Phone,Registered Voters
--,Politico/George Washington University,1000,4/29/12,5/4/12,47,48,0,2,Live Phone,Likely Voters
WV,The West Va. Poll (R.L. Repass),410,5/1/12,5/4/12,37,54,9,0,Live Phone,Registered Voters
NV,Rasmussen,500,5/2/12,5/5/12,52,44,4,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,705,5/2/12,5/5/12,51,42,7,0,Live Phone,Registered Voters
--,Rasmussen ,1500,4/30/12,5/5/12,47,45,2,4,Live Phone,Likely Voters
MT,Public Policy,934,5/2/12,5/5/12,43,48,9,0,Live Phone,Registered Voters
VA,Washington Post,1101,5/3/12,5/6/12,51,44,5,0,Live Phone,Registered Voters
PA,Quinnipiac,1168,5/3/12,5/6/12,47,39,14,0,Live Phone,Registered Voters
OH,Quinnipiac,1130,5/3/12,5/6/12,44,42,14,0,Live Phone,Registered Voters
AZ,Magellan Strategies,909,5/3/12,5/6/12,43,52,5,0,Live Phone,Likely Voters
FL,Quinnipiac,1169,5/3/12,5/6/12,43,44,13,0,Live Phone,Registered Voters
MT,Rasmussen,450,5/4/12,5/7/12,44,51,5,0,Live Phone,Registered Voters
--,Associated Press,871,5/3/12,5/8/12,50,42,2,4,Live Phone,Likely Voters
--,Reuters,900,5/3/12,5/8/12,49,42,2,6,Live Phone,Likely Voters
--,Gallup ,3000,5/3/12,5/8/12,44,47,2,6,Live Phone,Likely Voters
IA,Public Policy,1181,5/8/12,5/11/12,51,41,8,0,Live Phone,Registered Voters
OH,Public Policy,875,5/8/12,5/11/12,50,43,7,0,Live Phone,Registered Voters
MA,Rasmussen,500,5/9/12,5/12/12,56,35,9,0,Live Phone,Likely Voters
NJ,Fairleigh Dickinson U.,797,5/9/12,5/12/12,50,36,14,0,Live Phone,Registered Voters
FL,Suffolk University,600,5/9/12,5/12/12,46,45,9,0,Live Phone,Registered Voters
--,Angus Reid Public Opinion,769,5/7/12,5/12/12,45,46,2,6,Live Phone,Likely Voters
WA,SurveyUSA,557,5/10/12,5/13/12,50,36,14,0,Live Phone,Registered Voters
OR,SurveyUSA,1468,5/10/12,5/13/12,47,43,10,0,Live Phone,Registered Voters
--,Gallup ,2200,5/8/12,5/13/12,46,45,2,6,Live Phone,Likely Voters
OH,Quinnipiac,1069,5/10/12,5/13/12,45,44,11,0,Live Phone,Registered Voters
GA,Landmark/RosettaStone,600,5/10/12,5/13/12,40.2,51.1,8.7,0,Live Phone,Registered Voters
MN,SurveyUSA,516,5/11/12,5/14/12,52,38,10,0,Live Phone,Registered Voters
WI,Rasmussen,500,5/11/12,5/14/12,49,45,6,0,Live Phone,Likely Voters
--,Pew,3003,5/9/12,5/14/12,49,42,2,6,Live Phone,Likely Voters
MI,Glengariff Group,600,5/11/12,5/14/12,45.1,39.5,15.4,0,Live Phone,Registered Voters
ME,Critical Insights,600,5/12/12,5/15/12,50,42,8,0,Live Phone,Registered Voters
--,Gallup ,3050,5/11/12,5/16/12,45,46,2,6,Live Phone,Likely Voters
--,CBS News/New York Times,562,5/11/12,5/16/12,43,46,2,6,Live Phone,Likely Voters
NY,Siena College,766,5/14/12,5/17/12,57,37,6,0,Live Phone,Registered Voters
--,Rasmussen ,1500,5/12/12,5/17/12,46,45,2,6,Live Phone,Likely Voters
NH,Public Policy,1163,5/15/12,5/18/12,53,41,6,0,Live Phone,Registered Voters
WI,Public Policy,851,5/15/12,5/18/12,47,46,7,0,Live Phone,Registered Voters
--,Fox News/Anderson Robbins/Shaw & Co.,913,5/13/12,5/18/12,46,39,4,10,Live Phone,Likely Voters
NJ,Quinnipiac,1582,5/16/12,5/19/12,49,39,12,0,Live Phone,Registered Voters
NC,Public Policy,666,5/16/12,5/19/12,48,47,5,0,Live Phone,Registered Voters
WI,Marquette Univ. Law School,704,5/16/12,5/19/12,46,46,8,0,Live Phone,Registered Voters
NC,Rasmussen,500,5/16/12,5/19/12,43,51,6,0,Live Phone,Likely Voters
--,NBC/WSJ,1000,5/16/12,5/21/12,47,43,2,6,Live Phone,Likely Voters
NE,Rasmussen,500,5/18/12,5/21/12,39,53,8,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1004,5/17/12,5/22/12,49,45,0,4,Live Phone,Likely Voters
TN,Vanderbilt University,,5/20/12,5/23/12,40,47,13,0,Live Phone,Registered Voters
TX,Univ. of Texas,511,5/21/12,5/24/12,35,55,10,0,Live Phone,Likely Voters
OK,SoonerPoll,504,5/21/12,5/24/12,27,62,11,0,Live Phone,Likely Voters
VT,Castleton Polling Institute,607,5/22/12,5/25/12,59.3,27.5,13.2,0,Live Phone,Registered Voters
PA,Public Policy,671,5/22/12,5/25/12,50,42,8,0,Live Phone,Registered Voters
NC,SurveyUSA,524,5/22/12,5/25/12,44,45,11,0,Live Phone,Likely Voters
CA,PPIC,894,5/23/12,5/26/12,50,39,11,0,Live Phone,Likely Voters
PA,Rasmussen,500,5/23/12,5/26/12,47,41,12,0,Live Phone,Registered Voters
AZ,Public Policy,500,5/23/12,5/26/12,43,50,7,0,Live Phone,Registered Voters
FL,Quinnipiac,1722,5/23/12,5/26/12,41,47,12,0,Live Phone,Registered Voters
MA,Suffolk University,600,5/24/12,5/27/12,59,34,7,0,Live Phone,Likely Voters
WI,St. Norbert College,406,5/24/12,5/27/12,49,43,8,0,Live Phone,Likely Voters
FL,NBC/Marist,1078,5/24/12,5/27/12,48,44,8,0,Live Phone,Registered Voters
OH,NBC/Marist,1103,5/24/12,5/27/12,48,42,10,0,Live Phone,Registered Voters
VA,NBC/Marist,1076,5/24/12,5/27/12,48,44,8,0,Live Phone,Registered Voters
GA,InsiderAdvantage,438,5/24/12,5/27/12,39.9,52.3,7.8,0,Live Phone,Likely Voters
IN,Rasmussen,600,5/25/12,5/28/12,42,48,10,0,Live Phone,Likely Voters
NC,Civitas,600,5/27/12,5/30/12,45,47,8,0,Live Phone,Registered Voters
CA,USC/Los Angeles Times,1002,5/29/12,6/1/12,56,37,7,0,Live Phone,Registered Voters
MI,Public Policy,500,5/29/12,6/1/12,53,39,8,0,Live Phone,Registered Voters
CO,Project New America,601,5/29/12,6/1/12,48,44,8,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,600,5/30/12,6/2/12,51,43,6,0,Live Phone,Registered Voters
MO,Public Policy,602,5/30/12,6/2/12,45,44,11,0,Live Phone,Registered Voters
CA,SurveyUSA,1575,5/31/12,6/3/12,57,36,7,0,Live Phone,Registered Voters
NY,Quinnipiac,1504,5/31/12,6/3/12,56,31,13,0,Live Phone,Registered Voters
WA,Strategies 360,500,5/31/12,6/3/12,51,40,9,0,Live Phone,Likely Voters
NM,FM3 for Patriot Majority,502,5/31/12,6/3/12,48,35,17,0,Live Phone,Registered Voters
NV,NBC/Marist,1040,5/31/12,6/3/12,48,46,6,0,Live Phone,Registered Voters
CO,NBC/Marist,1030,5/31/12,6/3/12,46,45,9,0,Live Phone,Registered Voters
IA,NBC/Marist,1106,5/31/12,6/3/12,44,44,12,0,Live Phone,Registered Voters
OH,Rasmussen,500,5/31/12,6/3/12,44,46,10,0,Live Phone,Likely Voters
CA,Field Research,710,6/1/12,6/4/12,48,32,20,0,Live Phone,Registered Voters
MA,Western New England Univ.,504,6/2/12,6/5/12,56,34,10,0,Live Phone,Registered Voters
--,Daily Kos/SEIU PPP,1000,5/31/12,6/5/12,50,42,2,4,Live Phone,Likely Voters
MA,Boston Globe/UNH/Cornell,651,6/2/12,6/5/12,46,34,20,0,Live Phone,Registered Voters
FL,Public Policy,642,6/4/12,6/7/12,50,46,4,0,Live Phone,Registered Voters
VA,Rasmussen,500,6/4/12,6/7/12,47,47,6,0,Live Phone,Likely Voters
--,YouGov,1000,6/2/12,6/7/12,47,42,2,6,Live Phone,Likely Voters
--,Rasmussen ,1500,6/2/12,6/7/12,44,48,2,4,Live Phone,Likely Voters
CT,Quinnipiac,1408,6/6/12,6/9/12,50,38,12,0,Live Phone,Registered Voters
PA,Franklin & Marshall,412,6/6/12,6/9/12,48,36,16,0,Live Phone,Registered Voters
MN,Public Policy,973,6/7/12,6/10/12,54,39,7,0,Live Phone,Registered Voters
VA,Purple Strategies,600,6/7/12,6/10/12,49,46,5,0,Live Phone,Likely Voters
CO,Purple Strategies,600,6/7/12,6/10/12,48,46,6,0,Live Phone,Likely Voters
WI,We Ask America,1270,6/7/12,6/10/12,48,43,9,0,Live Phone,Likely Voters
VA,Quinnipiac,1282,6/7/12,6/10/12,47,42,11,0,Live Phone,Registered Voters
CO,Rasmussen,500,6/7/12,6/10/12,45,45,10,0,Live Phone,Likely Voters
FL,Purple Strategies,600,6/7/12,6/10/12,45,49,6,0,Live Phone,Likely Voters
MI,EPIC-MRA,600,6/7/12,6/10/12,45,46,9,0,Live Phone,Likely Voters
OH,Purple Strategies,600,6/7/12,6/10/12,45,48,7,0,Live Phone,Likely Voters
--,Fox News,907,6/5/12,6/10/12,43,43,4,8,Live Phone,Likely Voters
MO,Rasmussen,500,6/8/12,6/11/12,42,49,9,0,Live Phone,Likely Voters
--,Daily Kos/SEIU PPP,1000,6/7/12,6/12/12,50,42,2,4,Live Phone,Likely Voters
--,Pew,1563,6/7/12,6/12/12,50,46,0,2,Live Phone,Likely Voters
--,Angus Reid Public Opinion,1794,6/7/12,6/12/12,46,47,2,4,Live Phone,Likely Voters
--,Reuters/Ipsos,848,6/7/12,6/12/12,45,44,2,6,Live Phone,Likely Voters
ND,Mason-Dixon,625,6/10/12,6/13/12,39,52,9,0,Live Phone,Likely Voters
NY,Siena College,807,6/12/12,6/15/12,59,35,6,0,Live Phone,Registered Voters
MI,"Foster, Baydoun",1783,6/12/12,6/15/12,46.9,45.48,7.62,0,Live Phone,Registered Voters
IA,Rasmussen,500,6/12/12,6/15/12,46,47,7,0,Live Phone,Likely Voters
NC,Public Policy,810,6/12/12,6/15/12,46,48,6,0,Live Phone,Registered Voters
PA,Quinnipiac,997,6/12/12,6/15/12,46,40,14,0,Live Phone,Registered Voters
NV,Public Policy,500,6/13/12,6/16/12,48,42,10,0,Live Phone,Registered Voters
WI,Rasmussen,500,6/13/12,6/16/12,44,47,9,0,Live Phone,Likely Voters
NJ,Rutgers-Eagleton,1065,6/14/12,6/17/12,56,33,11,0,Live Phone,Registered Voters
--,Rasmussen ,1500,6/12/12,6/17/12,45,46,2,6,Live Phone,Likely Voters
MI,Rasmussen,500,6/15/12,6/18/12,50,42,8,0,Live Phone,Likely Voters
--,Associated Press,878,6/14/12,6/19/12,47,44,2,6,Live Phone,Likely Voters
--,Selzer/Bloomberg,734,6/15/12,6/20/12,53,40,2,4,Live Phone,Likely Voters
ME,MassInc,506,6/18/12,6/21/12,48,34,18,0,Live Phone,Likely Voters
CO,Public Policy,799,6/19/12,6/22/12,49,42,9,0,Live Phone,Registered Voters
WA,Elway Research,408,6/19/12,6/22/12,49,41,10,0,Live Phone,Registered Voters
AZ,Project New America,791,6/19/12,6/22/12,46,49,5,0,Live Phone,Likely Voters
WA,Public Policy,1073,6/20/12,6/23/12,54,41,5,0,Live Phone,Registered Voters
WI,Marquette Univ. Law School,594,6/20/12,6/23/12,49,43,8,0,Live Phone,Likely Voters
IA,We Ask America,1086,6/20/12,6/23/12,45,44,11,0,Live Phone,Likely Voters
MI,We Ask America,1010,6/20/12,6/23/12,43,45,12,0,Live Phone,Likely Voters
MT,Rasmussen,500,6/20/12,6/23/12,42,51,7,0,Live Phone,Likely Voters
NH,Rasmussen,500,6/21/12,6/24/12,48,43,9,0,Live Phone,Likely Voters
MI,Mitchell Research,750,6/21/12,6/24/12,47,46,7,0,Live Phone,Likely Voters
FL,Quinnipiac,1697,6/21/12,6/24/12,46,42,12,0,Live Phone,Registered Voters
--,NBC/WSJ,819,6/20/12,6/25/12,47,44,2,6,Live Phone,Likely Voters
--,Gallup ,3050,6/20/12,6/25/12,46,44,2,6,Live Phone,Likely Voters
UT,Dan Jones & Assoc.,1222,6/23/12,6/26/12,26,68,6,0,Live Phone,Registered Voters
PA,Susquehanna Polling & Research,,6/24/12,6/27/12,48,43,9,0,Live Phone,Registered Voters
NH,American Research Group,535,6/25/12,6/28/12,51,43,6,0,Live Phone,Registered Voters
OR,Public Policy,686,6/26/12,6/29/12,50,42,8,0,Live Phone,Registered Voters
OH,Public Policy,673,6/26/12,6/29/12,47,44,9,0,Live Phone,Registered Voters
CO,We Ask America,1083,6/26/12,6/29/12,46.6,43,10.4,0,Live Phone,Likely Voters
--,Fox News,912,6/24/12,6/29/12,45,40,4,10,Live Phone,Likely Voters
--,Rasmussen ,1500,6/24/12,6/29/12,45,45,2,6,Live Phone,Likely Voters
NC,Rasmussen,500,6/26/12,6/29/12,44,47,9,0,Live Phone,Likely Voters
VA,We Ask America,1106,6/26/12,6/29/12,43.3,48,8.7,0,Live Phone,Likely Voters
MA,Public Policy,902,6/27/12,6/30/12,55,39,6,0,Live Phone,Registered Voters
