state,pollster,number.of.observations,start.date,end.date,obama,romney,other,undecided,mode,population
--,Investor's Business Daily/TIPP,812,10/4/12,10/9/12,46,47,2,4,Live Phone,Likely Voters
--,Pew Center,1201,10/4/12,10/9/12,46,46,2,4,Live Phone,Likely Voters
VA,Public Policy,725,10/7/12,10/10/12,50,47,3,0,Live Phone,Likely Voters
CO,Selzer & Co.,604,10/7/12,10/10/12,47,43,10,0,Live Phone,Likely Voters
--,Zogby / JZAnalytics,800,10/5/12,10/10/12,45,45,2,6,Live Phone,Likely Voters
MA,Western New England Univ.,440,10/8/12,10/11/12,63,33,4,0,Live Phone,Likely Voters
CO,Rasmussen,500,10/8/12,10/11/12,49,48,3,0,Live Phone,Likely Voters
IA,Rasmussen,500,10/8/12,10/11/12,49,47,4,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1122,10/8/12,10/11/12,49,46,5,0,Live Phone,Likely Voters
MI,EPIC-MRA,600,10/8/12,10/11/12,48,45,7,0,Live Phone,Likely Voters
PA,Susquehanna Polling & Research,725,10/8/12,10/11/12,47,45,8,0,Live Phone,Likely Voters
LA,Magellan Strategies,2682,10/8/12,10/11/12,36,59,5,0,Live Phone,Likely Voters
MA,YouGov,437,10/9/12,10/12/12,55,34,11,0,Live Phone,Likely Voters
MN,Public Policy,937,10/9/12,10/12/12,53,43,4,0,Live Phone,Likely Voters
MA,MassINC,501,10/9/12,10/12/12,52,36,12,0,Live Phone,Likely Voters
CT,Rasmussen,500,10/9/12,10/12/12,51,45,4,0,Live Phone,Likely Voters
OH,CNN | ORC,732,10/9/12,10/12/12,51,47,2,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,559,10/9/12,10/12/12,50,44,6,0,Live Phone,Likely Voters
--,Politico/George Washington University/Battleground,1000,10/7/12,10/12/12,49,48,0,2,Live Phone,Likely Voters
NV,Rasmussen,500,10/9/12,10/12/12,47,47,6,0,Live Phone,Likely Voters
OH,American Research Group,600,10/9/12,10/12/12,47,48,5,0,Live Phone,Likely Voters
CO,American Research Group,600,10/9/12,10/12/12,46,50,4,0,Live Phone,Likely Voters
--,Fox News,1204,10/7/12,10/12/12,46,44,2,6,Live Phone,Likely Voters
--,Reuters/Ipsos,1092,10/7/12,10/12/12,44,47,2,6,Live Phone,Likely Voters
PA,Siena College,545,10/9/12,10/12/12,43,40,17,0,Live Phone,Likely Voters
NC,Gravis Marketing,1325,10/9/12,10/12/12,41,50,9,0,Live Phone,Likely Voters
ND,Mason-Dixon,625,10/9/12,10/12/12,40,54,6,0,Live Phone,Likely Voters
RI,Brown University,471,10/10/12,10/13/12,58,32,10,0,Live Phone,Likely Voters
NM,Rasmussen,500,10/10/12,10/13/12,54,43,3,0,Live Phone,Likely Voters
ME,Pan Atlantic SMS,400,10/10/12,10/13/12,51,37,12,0,Live Phone,Likely Voters
PA,Rasmussen,500,10/10/12,10/13/12,51,46,3,0,Live Phone,Likely Voters
WI,Rasmussen,500,10/10/12,10/13/12,51,49,0,0,Live Phone,Likely Voters
FL,University of North Florida,653,10/10/12,10/13/12,49,45,6,0,Live Phone,Likely Voters
NH,Rasmussen,500,10/10/12,10/13/12,48,48,4,0,Live Phone,Likely Voters
NV,SurveyUSA,1222,10/10/12,10/13/12,47,46,7,0,Live Phone,Likely Voters
OH,SurveyUSA,808,10/10/12,10/13/12,45,44,11,0,Live Phone,Likely Voters
MT,Public Policy,737,10/10/12,10/13/12,41,52,7,0,Live Phone,Likely Voters
IN,McLaughlin & Associates,600,10/10/12,10/13/12,39,55,6,0,Live Phone,Likely Voters
IL,Chicago Tribune,700,10/11/12,10/14/12,55,36,9,0,Live Phone,Registered Voters
MA,Public Policy,1051,10/11/12,10/14/12,55,41,4,0,Live Phone,Likely Voters
CA,SurveyUSA,539,10/11/12,10/14/12,53,39,8,0,Live Phone,Likely Voters
NJ,Philadelphia Inquirer,604,10/11/12,10/14/12,51,40,9,0,Live Phone,Likely Voters
NV,Public Policy,594,10/11/12,10/14/12,51,47,2,0,Live Phone,Likely Voters
OH,NBC/WSJ/Marist,994,10/11/12,10/14/12,51,45,4,0,Live Phone,Likely Voters
VA,Quinnipiac,1288,10/11/12,10/14/12,51,46,3,0,Live Phone,Likely Voters
PA,Philadelphia Inquirer,600,10/11/12,10/14/12,50,42,8,0,Live Phone,Likely Voters
WI,Quinnipiac,1327,10/11/12,10/14/12,50,47,3,0,Live Phone,Likely Voters
WI,Pulse Opinion Research,1000,10/11/12,10/14/12,50,46,4,0,Live Phone,Likely Voters
MI,Glengariff Group,600,10/11/12,10/14/12,49,42,9,0,Live Phone,Likely Voters
FL,NBC/WSJ/Marist,988,10/11/12,10/14/12,48,47,5,0,Live Phone,Likely Voters
NC,Rasmussen,500,10/11/12,10/14/12,48,51,1,0,Live Phone,Likely Voters
OH,Rasmussen,500,10/11/12,10/14/12,48,47,5,0,Live Phone,Likely Voters
VA,Pulse Opinion Research,1000,10/11/12,10/14/12,48,48,4,0,Live Phone,Likely Voters
CO,Quinnipiac,1254,10/11/12,10/14/12,47,48,5,0,Live Phone,Likely Voters
NV,Suffolk University,500,10/11/12,10/14/12,47,45,8,0,Live Phone,Registered Voters
OH,Pulse Opinion Research,1000,10/11/12,10/14/12,47,46,7,0,Live Phone,Likely Voters
PA,Pulse Opinion Research,1000,10/11/12,10/14/12,47,45,8,0,Live Phone,Likely Voters
VA,NBC/WSJ/Marist,981,10/11/12,10/14/12,47,48,5,0,Live Phone,Likely Voters
MI,Gravis Marketing,1122,10/11/12,10/14/12,46,44,10,0,Live Phone,Likely Voters
--,Gallup ,2700,10/9/12,10/14/12,46,50,0,2,Live Phone,Likely Voters
OH,Gravis Marketing,1313,10/11/12,10/14/12,45,46,9,0,Live Phone,Likely Voters
FL,Mason-Dixon,800,10/11/12,10/14/12,44,51,5,0,Live Phone,Registered Voters
MT,Montana State University,477,10/11/12,10/14/12,35,49,16,0,Live Phone,Registered Voters
CA,CBRT Pepperdine,830,10/12/12,10/15/12,54,33,13,0,Live Phone,Likely Voters
MI,Rasmussen,500,10/12/12,10/15/12,52,45,3,0,Live Phone,Likely Voters
--,ABC News/Washington Post,923,10/10/12,10/15/12,49,46,0,2,Live Phone,Likely Voters
CO,SurveyUSA,614,10/12/12,10/15/12,47,48,5,0,Live Phone,Likely Voters
FL,Rasmussen,500,10/12/12,10/15/12,47,51,2,0,Live Phone,Likely Voters
VA,Rasmussen,500,10/12/12,10/15/12,47,49,4,0,Live Phone,Likely Voters
--,Angus Reid Public Opinion[permanent dead link],906,10/10/12,10/15/12,47,47,0,4,Live Phone,Likely Voters
--,IBD/TIPP ,931,10/10/12,10/15/12,47,45,2,4,Live Phone,Likely Voters
FL,American Research Group,600,10/12/12,10/15/12,46,49,5,0,Live Phone,Likely Voters
NH,American Research Group,600,10/12/12,10/15/12,46,50,4,0,Live Phone,Likely Voters
--,UConn/Hartford Courant,1023,10/11/12,10/16/12,48,45,2,4,Live Phone,Likely Voters
OH,Public Policy,880,10/14/12,10/17/12,51,46,3,0,Live Phone,Likely Voters
NM,Albuquerque Journal,658,10/14/12,10/17/12,49,39,12,0,Live Phone,Likely Voters
NC,High Point Universtiy,605,10/14/12,10/17/12,46,45,9,0,Live Phone,Registered Voters
AZ,Behavior Research Center,523,10/14/12,10/17/12,44,42,14,0,Live Phone,Likely Voters
GA,Atlanta Journal-Constitution,706,10/14/12,10/17/12,43,51,6,0,Live Phone,Likely Voters
ID,Mason-Dixon,625,10/14/12,10/17/12,27,63,10,0,Live Phone,Registered Voters
PA,Public Policy,500,10/15/12,10/18/12,51,44,5,0,Live Phone,Likely Voters
WI,Pulse Opinion Research,1000,10/15/12,10/18/12,50,47,3,0,Live Phone,Likely Voters
PA,Morning Call/Muhlenberg,438,10/15/12,10/18/12,49,45,6,0,Live Phone,Likely Voters
CO,Gravis Marketing,2089,10/15/12,10/18/12,48,46,6,0,Live Phone,Likely Voters
FL,Public Policy,791,10/15/12,10/18/12,48,49,3,0,Live Phone,Likely Voters
FL,Gravis Marketing,617,10/15/12,10/18/12,48,49,3,0,Live Phone,Likely Voters
IA,American Research Group,600,10/15/12,10/18/12,48,48,4,0,Live Phone,Likely Voters
PA,Pulse Opinion Research,1000,10/15/12,10/18/12,48,44,8,0,Live Phone,Likely Voters
NC,Public Policy,1084,10/15/12,10/18/12,47,49,4,0,Live Phone,Likely Voters
VA,American Research Group,600,10/15/12,10/18/12,47,48,5,0,Live Phone,Likely Voters
VA,Pulse Opinion Research,1000,10/15/12,10/18/12,47,46,7,0,Live Phone,Likely Voters
--,Rasmussen Reports,1500,10/13/12,10/18/12,47,49,0,2,Live Phone,Likely Voters
OH,Pulse Opinion Research,1000,10/15/12,10/18/12,46,47,7,0,Live Phone,Likely Voters
MO,Wenzel Strategies,1000,10/15/12,10/18/12,41,55,4,0,Live Phone,Likely Voters
SD,Nielson Brothers,762,10/15/12,10/18/12,41,52,7,0,Live Phone,Likely Voters
NY,YouGov,1142,10/16/12,10/19/12,59,35,6,0,Live Phone,Likely Voters
CA,YouGov,1169,10/16/12,10/19/12,58,39,3,0,Live Phone,Likely Voters
IL,YouGov,850,10/16/12,10/19/12,58,38,4,0,Live Phone,Likely Voters
MD,YouGov,498,10/16/12,10/19/12,58,37,5,0,Live Phone,Likely Voters
MA,Rasmussen,500,10/16/12,10/19/12,57,42,1,0,Live Phone,Likely Voters
WA,YouGov,748,10/16/12,10/19/12,56,39,5,0,Live Phone,Likely Voters
MA,YouGov,669,10/16/12,10/19/12,55,36,9,0,Live Phone,Likely Voters
NJ,YouGov,770,10/16/12,10/19/12,54,41,5,0,Live Phone,Likely Voters
WA,SurveyUSA,543,10/16/12,10/19/12,54,40,6,0,Live Phone,Likely Voters
CT,YouGov,434,10/16/12,10/19/12,53,39,8,0,Live Phone,Likely Voters
MI,YouGov,895,10/16/12,10/19/12,52,42,6,0,Live Phone,Likely Voters
MN,YouGov,683,10/16/12,10/19/12,52,44,4,0,Live Phone,Likely Voters
NJ,Quinnipiac,1319,10/16/12,10/19/12,51,43,6,0,Live Phone,Likely Voters
PA,YouGov,967,10/16/12,10/19/12,51,44,5,0,Live Phone,Likely Voters
WI,YouGov,639,10/16/12,10/19/12,51,47,2,0,Live Phone,Likely Voters
IA,YouGov,545,10/16/12,10/19/12,50,46,4,0,Live Phone,Likely Voters
NV,YouGov,358,10/16/12,10/19/12,50,45,5,0,Live Phone,Likely Voters
OH,YouGov,851,10/16/12,10/19/12,50,46,4,0,Live Phone,Likely Voters
PA,Quinnipiac,1519,10/16/12,10/19/12,50,46,4,0,Live Phone,Likely Voters
IA,We Ask America,1499,10/16/12,10/19/12,49,46,5,0,Live Phone,Likely Voters
CO,YouGov,527,10/16/12,10/19/12,48,45,7,0,Live Phone,Likely Voters
FL,YouGov,1244,10/16/12,10/19/12,48,47,5,0,Live Phone,Likely Voters
NC,YouGov,810,10/16/12,10/19/12,48,49,3,0,Live Phone,Likely Voters
CO,We Ask America,1206,10/16/12,10/19/12,47,48,5,0,Live Phone,Likely Voters
NH,Suffolk University,500,10/16/12,10/19/12,47,47,6,0,Live Phone,Likely Voters
VA,YouGov,743,10/16/12,10/19/12,46,45,9,0,Live Phone,Likely Voters
--,Gallup ,2700,10/14/12,10/19/12,45,52,0,2,Live Phone,Likely Voters
GA,YouGov,777,10/16/12,10/19/12,44,52,4,0,Live Phone,Likely Voters
AZ,YouGov,469,10/16/12,10/19/12,43,52,5,0,Live Phone,Likely Voters
TN,YouGov,484,10/16/12,10/19/12,43,52,5,0,Live Phone,Likely Voters
MO,YouGov,546,10/16/12,10/19/12,42,52,6,0,Live Phone,Likely Voters
IN,Rasmussen,600,10/16/12,10/19/12,41,54,5,0,Live Phone,Likely Voters
IN,YouGov,495,10/16/12,10/19/12,41,53,6,0,Live Phone,Likely Voters
TX,YouGov,958,10/16/12,10/19/12,41,55,4,0,Live Phone,Likely Voters
MA,Public Policy,709,10/17/12,10/20/12,57,39,4,0,Live Phone,Likely Voters
WA,Rasmussen,500,10/17/12,10/20/12,55,42,3,0,Live Phone,Likely Voters
CT,Siena College,552,10/17/12,10/20/12,53,38,9,0,Live Phone,Likely Voters
NH,Rasmussen,500,10/17/12,10/20/12,50,49,1,0,Live Phone,Likely Voters
NV,Rasmussen,500,10/17/12,10/20/12,50,47,3,0,Live Phone,Likely Voters
WA,Public Policy,574,10/17/12,10/20/12,50,45,5,0,Live Phone,Likely Voters
WI,Marquette Univ. Law School,870,10/17/12,10/20/12,49,48,3,0,Live Phone,Likely Voters
--,UPI/CVOTER,3633,10/15/12,10/20/12,49,48,0,2,Live Phone,Likely Voters
NV,SurveyUSA,806,10/17/12,10/20/12,48,45,7,0,Live Phone,Likely Voters
--,Politico/George Washington University/Battleground,1000,10/15/12,10/20/12,47,49,0,2,Live Phone,Likely Voters
MT,Rasmussen,500,10/17/12,10/20/12,45,53,2,0,Live Phone,Likely Voters
OH,SurveyUSA,613,10/17/12,10/20/12,45,42,13,0,Live Phone,Likely Voters
MT,Public Policy,806,10/17/12,10/20/12,43,53,4,0,Live Phone,Likely Voters
CT,Public Policy,1015,10/18/12,10/21/12,53,44,3,0,Live Phone,Likely Voters
MI,EPIC-MRA,800,10/18/12,10/21/12,52,46,2,0,Live Phone,Likely Voters
WA,Washington Poll,644,10/18/12,10/21/12,52,43,5,0,Live Phone,Likely Voters
CT,UConn/Courant,574,10/18/12,10/21/12,51,37,12,0,Live Phone,Likely Voters
IA,NBC/WSJ/Marist,1137,10/18/12,10/21/12,51,43,6,0,Live Phone,Likely Voters
WI,NBC/WSJ/Marist,1013,10/18/12,10/21/12,51,45,4,0,Live Phone,Likely Voters
CO,Public Policy,1000,10/18/12,10/21/12,50,47,3,0,Live Phone,Likely Voters
MN,SurveyUSA,550,10/18/12,10/21/12,50,40,10,0,Live Phone,Likely Voters
OH,Rasmussen,750,10/18/12,10/21/12,49,48,3,0,Live Phone,Likely Voters
VA,Public Policy,733,10/18/12,10/21/12,49,48,3,0,Live Phone,Likely Voters
NC,Rasmussen,500,10/18/12,10/21/12,46,52,2,0,Live Phone,Likely Voters
MI,Denno Research,600,10/18/12,10/21/12,44,41,15,0,Live Phone,Likely Voters
CA,Reason-Rupe,508,10/19/12,10/22/12,53,38,9,0,Live Phone,Likely Voters
WI,Rasmussen,500,10/19/12,10/22/12,50,48,2,0,Live Phone,Likely Voters
OR,SurveyUSA,579,10/19/12,10/22/12,49,42,9,0,Live Phone,Likely Voters
--,PPP/Americans United for Change,1200,10/17/12,10/22/12,49,47,0,2,Live Phone,Likely Voters
FL,CNN | ORC,681,10/19/12,10/22/12,48,49,3,0,Live Phone,Likely Voters
IA,Public Policy,869,10/19/12,10/22/12,48,49,3,0,Live Phone,Likely Voters
NH,Public Policy,1036,10/19/12,10/22/12,48,49,3,0,Live Phone,Likely Voters
--,CBS News,790,10/17/12,10/22/12,48,46,0,4,Live Phone,Likely Voters
NC,Project New America,500,10/19/12,10/22/12,47,44,9,0,Live Phone,Likely Voters
VA,Rasmussen,750,10/19/12,10/22/12,47,50,3,0,Live Phone,Likely Voters
--,NBC/WSJ,816,10/17/12,10/22/12,47,47,0,4,Live Phone,Likely Voters
--,IBD/TIPP,938,10/17/12,10/22/12,47,45,2,4,Live Phone,Likely Voters
FL,Rasmussen,750,10/19/12,10/22/12,46,51,3,0,Live Phone,Likely Voters
OH,Fox News,1131,10/19/12,10/22/12,46,43,11,0,Live Phone,Likely Voters
FL,Fox News,1130,10/19/12,10/22/12,45,48,7,0,Live Phone,Likely Voters
MO,Rasmussen,500,10/19/12,10/22/12,43,54,3,0,Live Phone,Likely Voters
NJ,SurveyUSA,577,10/20/12,10/23/12,54,40,6,0,Live Phone,Likely Voters
--,Washington Times/JZ Analytics,800,10/18/12,10/23/12,50,47,0,2,Live Phone,Likely Voters
OH,Public Policy,532,10/20/12,10/23/12,49,48,3,0,Live Phone,Likely Voters
VA,Public Policy,500,10/20/12,10/23/12,49,47,4,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1376,10/18/12,10/23/12,49,48,0,2,Live Phone,Likely Voters
FL,SurveyUSA,600,10/20/12,10/23/12,47,46,7,0,Live Phone,Likely Voters
OH,Gravis Marketing,1943,10/20/12,10/23/12,47,47,6,0,Live Phone,Likely Voters
--,Monmouth/SurveyUSA/Braun,1402,10/18/12,10/23/12,45,48,2,4,Live Phone,Likely Voters
--,Associated Press/GFK,1186,10/19/12,10/24/12,48,40,2,8,Live Phone,Likely Voters
FL,Public Policy,800,10/21/12,10/24/12,47,48,5,0,Live Phone,Likely Voters
MI,Angus Reid,551,10/22/12,10/25/12,52,43,5,0,Live Phone,Likely Voters
PA,Angus Reid,559,10/22/12,10/25/12,52,42,6,0,Live Phone,Likely Voters
NH,Granite State Poll - Univ. of NH,773,10/22/12,10/25/12,51,42,7,0,Live Phone,Likely Voters
WI,Angus Reid,502,10/22/12,10/25/12,51,46,3,0,Live Phone,Likely Voters
OH,Quinnipiac,1548,10/22/12,10/25/12,50,45,5,0,Live Phone,Likely Voters
PA,Morning Call/Muhlenberg,444,10/22/12,10/25/12,50,45,5,0,Live Phone,Likely Voters
IA,Rasmussen,500,10/22/12,10/25/12,48,48,4,0,Live Phone,Likely Voters
OH,Angus Reid,550,10/22/12,10/25/12,48,48,4,0,Live Phone,Likely Voters
PA,Gravis Marketing,887,10/22/12,10/25/12,48,45,7,0,Live Phone,Likely Voters
OH,Suffolk University,600,10/22/12,10/25/12,47,47,6,0,Live Phone,Likely Voters
CO,Rasmussen,500,10/22/12,10/25/12,46,50,4,0,Live Phone,Likely Voters
MO,Public Policy,582,10/22/12,10/25/12,46,52,2,0,Live Phone,Likely Voters
--,Rasmussen ,1500,10/20/12,10/25/12,46,50,0,2,Live Phone,Likely Voters
ND,Rasmussen,600,10/22/12,10/25/12,40,54,6,0,Live Phone,Likely Voters
CT,SurveyUSA,575,10/23/12,10/26/12,53,40,7,0,Live Phone,Likely Voters
NJ,Stockton College,811,10/23/12,10/26/12,53,38,9,0,Live Phone,Likely Voters
CT,Rasmussen,500,10/23/12,10/26/12,52,45,3,0,Live Phone,Likely Voters
WA,Strategies 360,500,10/23/12,10/26/12,52,39,9,0,Live Phone,Likely Voters
MN,Rasmussen,500,10/23/12,10/26/12,51,45,4,0,Live Phone,Likely Voters
IA,Public Policy,660,10/23/12,10/26/12,49,48,3,0,Live Phone,Likely Voters
NV,American Research Group,600,10/23/12,10/26/12,49,47,4,0,Live Phone,Likely Voters
NH,American Research Group,600,10/23/12,10/26/12,47,49,4,0,Live Phone,Likely Voters
--,ABC News/Washington Post,1386,10/21/12,10/26/12,47,50,0,2,Live Phone,Likely Voters
ND,Essman Research,500,10/23/12,10/26/12,32,57,11,0,Live Phone,Likely Voters
MD,Washington Post,843,10/24/12,10/27/12,60,36,4,0,Live Phone,Likely Voters
MA,MassINC,516,10/24/12,10/27/12,56,36,8,0,Live Phone,Likely Voters
CT,Quinnipiac,1412,10/24/12,10/27/12,55,41,4,0,Live Phone,Likely Voters
NV,Public Policy,636,10/24/12,10/27/12,51,47,2,0,Live Phone,Likely Voters
NV,Rasmussen,500,10/24/12,10/27/12,50,48,2,0,Live Phone,Likely Voters
OH,TIME,783,10/24/12,10/27/12,49,44,7,0,Live Phone,Likely Voters
--,Politico/George Washington University/Battleground,1000,10/22/12,10/27/12,49,48,0,2,Live Phone,Likely Voters
--,PPP/Americans United for Change,1200,10/22/12,10/27/12,49,48,0,2,Live Phone,Likely Voters
NH,Rasmussen,500,10/24/12,10/27/12,48,50,2,0,Live Phone,Likely Voters
OH,Rasmussen,750,10/24/12,10/27/12,48,48,4,0,Live Phone,Likely Voters
--,Gallup ,3050,10/22/12,10/27/12,48,48,0,2,Live Phone,Likely Voters
OH,SurveyUSA,609,10/24/12,10/27/12,47,44,9,0,Live Phone,Likely Voters
--,High Point University,805,10/22/12,10/27/12,46,43,2,6,Live Phone,Likely Voters
--,Investor's Business Daily/TIPP,942,10/22/12,10/27/12,45,44,2,6,Live Phone,Likely Voters
AR,University of Arkansas,642,10/24/12,10/27/12,31,58,11,0,Live Phone,Likely Voters
UT,Key Research,500,10/24/12,10/27/12,20,71,9,0,Live Phone,Likely Voters
NY,NY1/YNN-Marist,565,10/25/12,10/28/12,61,35,4,0,Live Phone,Likely Voters
CO,Public Policy,904,10/25/12,10/28/12,51,47,2,0,Live Phone,Likely Voters
PA,Rasmussen,500,10/25/12,10/28/12,51,46,3,0,Live Phone,Likely Voters
VA,Public Policy,722,10/25/12,10/28/12,51,46,3,0,Live Phone,Likely Voters
WI,Public Policy,827,10/25/12,10/28/12,51,45,4,0,Live Phone,Likely Voters
NV,NBC/WSJ/Marist,1042,10/25/12,10/28/12,50,47,3,0,Live Phone,Likely Voters
CT,Mason-Dixon,625,10/25/12,10/28/12,49,42,9,0,Live Phone,Likely Voters
FL,Gravis Marketing,1182,10/25/12,10/28/12,49,50,1,0,Live Phone,Likely Voters
IA,Public Policy,690,10/25/12,10/28/12,49,47,4,0,Live Phone,Likely Voters
CO,NBC/WSJ/Marist,1128,10/25/12,10/28/12,48,48,4,0,Live Phone,Likely Voters
NC,Public Policy,880,10/25/12,10/28/12,48,48,4,0,Live Phone,Likely Voters
VA,Rasmussen,750,10/25/12,10/28/12,48,50,2,0,Live Phone,Likely Voters
WI,Mason-Dixon,625,10/25/12,10/28/12,48,46,6,0,Live Phone,Likely Voters
MI,"Foster, Baydoun",1122,10/25/12,10/28/12,47,47,6,0,Live Phone,Likely Voters
